topic,lang,title,period,views,project_views,per_million
intermittent fasting,pl,,2024-09,0,192493223,0.0
intermittent fasting,pl,,2024-10,0,208701948,0.0
intermittent fasting,pl,,2024-11,0,218936097,0.0
intermittent fasting,pl,,2024-12,0,219776867,0.0
intermittent fasting,pl,,2025-01,0,252131702,0.0
intermittent fasting,pl,,2025-02,0,211020679,0.0
intermittent fasting,pl,,2025-03,0,224233637,0.0
intermittent fasting,pl,,2025-04,0,199339583,0.0
intermittent fasting,pl,,2025-05,0,194249620,0.0
intermittent fasting,pl,,2025-06,0,170783829,0.0
intermittent fasting,pl,,2025-07,0,186739175,0.0
intermittent fasting,pl,,2025-08,0,196910322,0.0
intermittent fasting,pl,,2025-09,0,189329148,0.0
intermittent fasting,pl,,2025-10,0,201290696,0.0
intermittent fasting,pl,,2025-11,0,228294569,0.0
intermittent fasting,pl,,2025-12,0,190164557,0.0
intermittent fasting,pl,,2026-01,0,204283824,0.0
intermittent fasting,pl,,2026-02,0,178016304,0.0
intermittent fasting,pl,,2026-03,0,178619982,0.0
intermittent fasting,pl,,2026-04,0,172037842,0.0
intermittent fasting,pl,,2026-05,0,179989593,0.0
intermittent fasting,pl,,2026-06,0,179578875,0.0
intermittent fasting,pl,,2026-07,0,179428492,0.0
intermittent fasting,pl,,2026-08,0,175873090,0.0
intermittent fasting,cs,Přerušovaný půst,2024-09,393,62292789,6.3089
intermittent fasting,cs,Přerušovaný půst,2024-10,634,70881496,8.9445
intermittent fasting,cs,Přerušovaný půst,2024-11,329,68852170,4.7784
intermittent fasting,cs,Přerušovaný půst,2024-12,294,70360761,4.1785
intermittent fasting,cs,Přerušovaný půst,2025-01,489,83396601,5.8635
intermittent fasting,cs,Přerušovaný půst,2025-02,272,69753016,3.8995
intermittent fasting,cs,Přerušovaný půst,2025-03,366,74887886,4.8873
intermittent fasting,cs,Přerušovaný půst,2025-04,958,67010206,14.2963
intermittent fasting,cs,Přerušovaný půst,2025-05,225,73630159,3.0558
intermittent fasting,cs,Přerušovaný půst,2025-06,238,56271438,4.2295
intermittent fasting,cs,Přerušovaný půst,2025-07,157,61159851,2.567
intermittent fasting,cs,Přerušovaný půst,2025-08,386,57515129,6.7113
intermittent fasting,cs,Přerušovaný půst,2025-09,270,57306454,4.7115
intermittent fasting,cs,Přerušovaný půst,2025-10,141,66546281,2.1188
intermittent fasting,cs,Přerušovaný půst,2025-11,151,72883460,2.0718
intermittent fasting,cs,Přerušovaný půst,2025-12,218,59967317,3.6353
intermittent fasting,cs,Přerušovaný půst,2026-01,474,67410000,7.0316
intermittent fasting,cs,Přerušovaný půst,2026-02,196,58306397,3.3616
intermittent fasting,cs,Přerušovaný půst,2026-03,179,58040192,3.0841
intermittent fasting,cs,Přerušovaný půst,2026-04,135,54688383,2.4685
intermittent fasting,cs,Přerušovaný půst,2026-05,109,59792880,1.823
intermittent fasting,cs,Přerušovaný půst,2026-06,115,53683305,2.1422
intermittent fasting,cs,Přerušovaný půst,2026-07,91,53131065,1.7127
intermittent fasting,cs,Přerušovaný půst,2026-08,119,51467770,2.3121
