topic,lang,title,period,views,project_views,per_million
астрономія,uk,Астрономія,2023-09,9857,94145367,104.6998
астрономія,uk,Астрономія,2023-10,3611,106892435,33.7816
астрономія,uk,Астрономія,2023-11,3390,106244082,31.9077
астрономія,uk,Астрономія,2023-12,3576,104235920,34.3068
астрономія,uk,Астрономія,2024-01,3700,115282138,32.0952
астрономія,uk,Астрономія,2024-02,3206,105744860,30.3183
астрономія,uk,Астрономія,2024-03,2140,102268020,20.9254
астрономія,uk,Астрономія,2024-04,2216,96763982,22.9011
астрономія,uk,Астрономія,2024-05,2018,92905741,21.7209
астрономія,uk,Астрономія,2024-06,959,63376161,15.1319
астрономія,uk,Астрономія,2024-07,637,59722919,10.6659
астрономія,uk,Астрономія,2024-08,754,66081529,11.4101
астрономія,uk,Астрономія,2024-09,4687,74509285,62.9049
астрономія,uk,Астрономія,2024-10,1776,83014264,21.3939
астрономія,uk,Астрономія,2024-11,1746,83835060,20.8266
астрономія,uk,Астрономія,2024-12,1634,84431475,19.353
астрономія,uk,Астрономія,2025-01,1558,94111809,16.5548
астрономія,uk,Астрономія,2025-02,1296,81951788,15.8142
астрономія,uk,Астрономія,2025-03,1068,79609260,13.4155
астрономія,uk,Астрономія,2025-04,1019,72146878,14.124
астрономія,uk,Астрономія,2025-05,789,69040303,11.4281
астрономія,uk,Астрономія,2025-06,361,53652676,6.7285
астрономія,uk,Астрономія,2025-07,305,62209478,4.9028
астрономія,uk,Астрономія,2025-08,375,61801817,6.0678
астрономія,uk,Астрономія,2025-09,1642,61256706,26.8052
астрономія,uk,Астрономія,2025-10,635,66044662,9.6147
астрономія,uk,Астрономія,2025-11,557,67137685,8.2964
астрономія,uk,Астрономія,2025-12,622,55497356,11.2077
астрономія,uk,Астрономія,2026-01,449,60471976,7.4249
астрономія,uk,Астрономія,2026-02,425,51614348,8.2341
астрономія,uk,Астрономія,2026-03,410,55114806,7.439
астрономія,uk,Астрономія,2026-04,405,53385280,7.5864
астрономія,uk,Астрономія,2026-05,600,55950057,10.7238
астрономія,uk,Астрономія,2026-06,281,48312008,5.8164
астрономія,uk,Астрономія,2026-07,322,52999047,6.0756
астрономія,uk,Астрономія,2026-08,360,50720483,7.0977
