topic,lang,title,period,views,project_views,per_million
English language,pl,Język angielski,2024-09,9611,192493223,49.929
English language,pl,Język angielski,2024-10,10234,208701948,49.0364
English language,pl,Język angielski,2024-11,11661,218936097,53.2621
English language,pl,Język angielski,2024-12,11498,219776867,52.3167
English language,pl,Język angielski,2025-01,12414,252131702,49.2362
English language,pl,Język angielski,2025-02,9932,211020679,47.0665
English language,pl,Język angielski,2025-03,11547,224233637,51.4954
English language,pl,Język angielski,2025-04,9133,199339583,45.8163
English language,pl,Język angielski,2025-05,8562,194249620,44.0773
English language,pl,Język angielski,2025-06,7352,170783829,43.0486
English language,pl,Język angielski,2025-07,7962,186739175,42.637
English language,pl,Język angielski,2025-08,8827,196910322,44.8275
English language,pl,Język angielski,2025-09,8458,189329148,44.6735
English language,pl,Język angielski,2025-10,10137,201290696,50.36
English language,pl,Język angielski,2025-11,8455,228294569,37.0355
English language,pl,Język angielski,2025-12,7850,190164557,41.28
English language,pl,Język angielski,2026-01,8902,204283824,43.5766
English language,pl,Język angielski,2026-02,7257,178016304,40.7659
English language,pl,Język angielski,2026-03,7886,178619982,44.1496
English language,pl,Język angielski,2026-04,7365,172037842,42.8103
English language,pl,Język angielski,2026-05,7429,179989593,41.2746
English language,pl,Język angielski,2026-06,7940,179578875,44.2146
English language,pl,Język angielski,2026-07,8244,179428492,45.9459
English language,pl,Język angielski,2026-08,7119,175873090,40.4781
English language,cs,Angličtina,2024-09,3855,62292789,61.8852
English language,cs,Angličtina,2024-10,4139,70881496,58.3932
English language,cs,Angličtina,2024-11,4058,68852170,58.9379
English language,cs,Angličtina,2024-12,3668,70360761,52.1313
English language,cs,Angličtina,2025-01,4834,83396601,57.964
English language,cs,Angličtina,2025-02,3972,69753016,56.9438
English language,cs,Angličtina,2025-03,4114,74887886,54.9355
English language,cs,Angličtina,2025-04,3402,67010206,50.7684
English language,cs,Angličtina,2025-05,4061,73630159,55.154
English language,cs,Angličtina,2025-06,2862,56271438,50.8606
English language,cs,Angličtina,2025-07,2524,61159851,41.2689
English language,cs,Angličtina,2025-08,2624,57515129,45.6228
English language,cs,Angličtina,2025-09,3017,57306454,52.6468
English language,cs,Angličtina,2025-10,3137,66546281,47.1401
English language,cs,Angličtina,2025-11,3066,72883460,42.0672
English language,cs,Angličtina,2025-12,2705,59967317,45.1079
English language,cs,Angličtina,2026-01,3179,67410000,47.1592
English language,cs,Angličtina,2026-02,3138,58306397,53.8191
