topic,lang,title,period,views,project_views,per_million
English language,pl,Język angielski,2025-09,8458,189329148,44.6735
English language,pl,Język angielski,2025-10,10137,201290696,50.36
English language,pl,Język angielski,2025-11,8455,228294569,37.0355
English language,pl,Język angielski,2025-12,7850,190164557,41.28
English language,pl,Język angielski,2026-01,8902,204283824,43.5766
English language,pl,Język angielski,2026-02,7257,178016304,40.7659
English language,pl,Język angielski,2026-03,7886,178619982,44.1496
English language,pl,Język angielski,2026-04,7365,172037842,42.8103
English language,pl,Język angielski,2026-05,7429,179989593,41.2746
English language,pl,Język angielski,2026-06,7940,179578875,44.2146
English language,pl,Język angielski,2026-07,8244,179428492,45.9459
English language,pl,Język angielski,2026-08,7119,175873090,40.4781
English language,cs,Angličtina,2025-09,3017,57306454,52.6468
English language,cs,Angličtina,2025-10,3137,66546281,47.1401
English language,cs,Angličtina,2025-11,3066,72883460,42.0672
English language,cs,Angličtina,2025-12,2705,59967317,45.1079
English language,cs,Angličtina,2026-01,3179,67410000,47.1592
English language,cs,Angličtina,2026-02,3138,58306397,53.8191
English language,cs,Angličtina,2026-03,2954,58040192,50.8958
English language,cs,Angličtina,2026-04,2612,54688383,47.7615
English language,cs,Angličtina,2026-05,2940,59792880,49.1697
English language,cs,Angličtina,2026-06,2553,53683305,47.5567
English language,cs,Angličtina,2026-07,2339,53131065,44.0232
English language,cs,Angličtina,2026-08,2435,51467770,47.3112
English language,uk,Англійська мова,2025-09,8464,61256706,138.1726
English language,uk,Англійська мова,2025-10,7984,66044662,120.8879
English language,uk,Англійська мова,2025-11,7244,67137685,107.8977
English language,uk,Англійська мова,2025-12,7094,55497356,127.8259
English language,uk,Англійська мова,2026-01,6888,60471976,113.904
English language,uk,Англійська мова,2026-02,6186,51614348,119.8504
English language,uk,Англійська мова,2026-03,6646,55114806,120.5847
English language,uk,Англійська мова,2026-04,6165,53385280,115.4813
English language,uk,Англійська мова,2026-05,6957,55950057,124.343
English language,uk,Англійська мова,2026-06,5409,48312008,111.9597
English language,uk,Англійська мова,2026-07,5390,52999047,101.6999
English language,uk,Англійська мова,2026-08,5476,50720483,107.9643
English language,de,Englische Sprache,2025-09,24452,696111150,35.1266
English language,de,Englische Sprache,2025-10,25580,748632593,34.169
English language,de,Englische Sprache,2025-11,23704,733914764,32.298
English language,de,Englische Sprache,2025-12,23070,705194251,32.7144
English language,de,Englische Sprache,2026-01,25610,780199458,32.8249
English language,de,Englische Sprache,2026-02,21820,672194020,32.4609
English language,de,Englische Sprache,2026-03,23948,693410501,34.5365
English language,de,Englische Sprache,2026-04,23635,662879466,35.655
English language,de,Englische Sprache,2026-05,23683,702429083,33.7159
English language,de,Englische Sprache,2026-06,24277,682993791,35.545
English language,de,Englische Sprache,2026-07,21586,693723660,31.1161
English language,de,Englische Sprache,2026-08,20354,687413224,29.6096
English language,es,Idioma inglés,2025-09,30033,577761290,51.9817
English language,es,Idioma inglés,2025-10,31624,606733989,52.1217
English language,es,Idioma inglés,2025-11,27226,588079817,46.2964
English language,es,Idioma inglés,2025-12,23240,508726089,45.6827
English language,es,Idioma inglés,2026-01,26184,596404635,43.9031
English language,es,Idioma inglés,2026-02,24604,544123493,45.2177
English language,es,Idioma inglés,2026-03,24649,521759780,47.242
English language,es,Idioma inglés,2026-04,26954,513428595,52.498
English language,es,Idioma inglés,2026-05,25543,519845891,49.1357
English language,es,Idioma inglés,2026-06,24304,518358752,46.8864
English language,es,Idioma inglés,2026-07,24804,528878589,46.8992
English language,es,Idioma inglés,2026-08,22378,508871577,43.9757
